[0521/185640.882:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0521/192829.225:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/192829.264:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/192829.347:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/192834.256:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/192834.271:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/192834.362:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/192839.272:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/192839.286:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/192839.385:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/192844.285:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/192844.318:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/192844.403:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
